,19801/4,19802/4,19803/4,19804/4,19811/4,19812/4,19813/4,19814/4,19821/4,19822/4,19823/4,19824/4,19831/4,19832/4,19833/4,19834/4,19841/4,19842/4,19843/4,19844/4,19851/4,19852/4,19853/4,19854/4,19861/4,19862/4,19863/4,19864/4,19871/4,19872/4,19873/4,19874/4,19881/4,19882/4,19883/4,19884/4,19891/4,19892/4,19893/4,19894/4,19901/4,19902/4,19903/4,19904/4,19911/4,19912/4,19913/4,19914/4,19921/4,19922/4,19923/4,19924/4,19931/4,19932/4,19933/4,19934/4,19941/4,19942/4,19943/4,19944/4,19951/4,19952/4,19953/4,19954/4,19961/4,19962/4,19963/4,19964/4,19971/4,19972/4,19973/4,19974/4,19981/4,19982/4,19983/4,19984/4,19991/4,19992/4,19993/4,19994/4,20001/4,20002/4,20003/4,20004/4,20011/4,20012/4,20013/4,20014/4,20021/4,20022/4,20023/4,20024/4,20031/4,20032/4,20033/4,20034/4,20041/4,20042/4,20043/4,20044/4,20051/4,20052/4,20053/4,20054/4,20061/4,20062/4,20063/4,20064/4,20071/4,20072/4,20073/4,20074/4,20081/4,20082/4,20083/4,20084/4,20091/4,20092/4,20093/4,20094/4,20101/4,20102/4,20103/4,20104/4,20111/4,20112/4,20113/4,20114/4,20121/4,20122/4,20123/4,20124/4,20131/4,20132/4,20133/4,20134/4,20141/4,20142/4,20143/4,20144/4,20151/4,20152/4,20153/4,20154/4,20161/4,20162/4,20163/4,20164/4,20171/4,20172/4,20173/4,20174/4,20181/4,20182/4,20183/4,20184/4,20191/4,20192/4,20193/4,20194/4,20201/4,20202/4,20203/4,20204/4,20211/4,20212/4,20213/4,20214/4,20221/4,20222/4,20223/4,20224/4,20231/4,20232/4
명목GDP,"8,266.6","10,020.7","10,342.3","11,095.5","10,293.0","12,496.2","12,950.0","13,930.6","12,390.4","14,369.1","14,768.4","15,758.7","14,920.0","16,816.9","17,844.9","18,498.3","17,255.3","19,441.0","20,760.8","21,134.2","19,225.7","21,604.7","23,186.6","24,112.7","22,516.7","25,054.2","27,045.1","28,369.9","26,475.0","29,808.6","31,447.9","33,966.3","32,844.3","35,040.9","37,510.9","40,598.7","37,066.4","39,973.7","42,208.8","46,552.9","44,060.8","48,660.9","52,433.0","55,401.6","53,527.2","59,330.8","62,525.4","67,097.7","63,005.5","69,226.4","70,880.4","74,428.4","70,650.3","78,308.1","80,911.1","85,311.8","83,453.5","91,513.3","95,615.3","101,911.3","98,054.3","108,417.9","113,779.6","116,736.9","112,294.5","121,161.5","126,073.8","131,321.1","122,408.5","133,583.6","139,134.8","146,874.9","131,111.0","131,834.6","134,676.5","139,593.3","133,692.3","143,533.4","152,776.0","161,451.3","152,404.4","160,404.4","166,224.9","172,397.6","165,662.3","176,302.9","179,613.6","185,242.5","182,815.1","195,025.5","197,296.0","209,604.7","196,663.6","205,785.3","209,454.4","225,461.8","213,471.2","225,589.8","229,235.5","240,142.8","224,035.8","235,823.7","242,709.8","254,878.5","236,667.5","246,819.2","255,259.1","266,855.7","252,586.3","268,345.3","275,865.8","292,862.8","271,693.8","289,566.5","295,242.9","297,713.4","278,108.8","297,889.5","309,041.3","320,308.2","307,737.9","329,481.0","334,833.6","350,558.7","328,096.0","343,678.8","349,987.0","367,175.4","344,574.6","358,275.7","361,834.3","375,426.7","355,384.7","373,096.5","379,887.2","392,450.8","373,559.7","388,566.9","393,425.4","407,377.0","394,273.0","411,386.8","420,790.8","431,569.8","413,495.1","434,536.3","439,479.8","453,268.4","433,086.1","454,226.7","473,427.5","474,957.9","449,357.8","472,929.4","485,723.8","490,181.6","455,551.1","480,832.1","488,771.2","499,343.6","459,774.2","475,617.4","496,391.7","508,943.0","484,679.0","517,054.3","531,525.5","546,939.7","512,012.9","544,239.8","548,892.5","556,628.7","523,816.2","551,569.1"
실질성장률,0.2,-3.5,2.3,-4.8,3.8,3.9,7.9,12.6,9.0,8.7,8.2,7.7,13.7,13.4,16.1,10.7,13.8,12.2,9.5,7.5,7.5,6.7,7.3,9.7,9.1,10.2,13.9,11.7,15.0,15.2,10.8,10.6,16.5,8.4,10.6,12.9,5.0,7.8,6.9,8.3,10.0,10.9,10.5,8.2,11.4,11.8,9.8,10.3,8.6,7.7,4.9,4.0,5.0,6.5,7.9,7.9,9.7,8.6,8.4,10.4,9.6,10.0,10.8,8.2,8.1,8.1,7.9,7.5,6.0,7.6,6.9,4.3,-2.9,-7.2,-6.4,-3.8,7.0,12.2,12.8,13.5,12.7,9.1,9.1,5.9,5.1,4.9,3.5,5.9,7.2,7.6,8.2,7.8,4.2,2.3,2.1,4.0,5.8,6.7,5.2,3.3,3.0,3.9,5.0,5.3,6.4,4.8,5.1,4.8,4.9,5.9,5.5,6.8,5.8,4.4,4.0,-1.7,-1.8,-1.2,0.9,5.2,7.3,7.9,5.8,6.3,5.4,3.8,3.1,2.6,2.4,2.4,2.3,2.5,2.3,2.9,3.5,3.9,3.8,3.4,3.1,2.6,2.4,2.0,3.3,3.4,2.8,3.6,2.8,2.6,3.1,2.8,3.9,2.9,2.9,3.1,2.4,3.2,1.9,2.3,2.1,2.7,1.4,-2.6,-0.9,-0.7,2.4,6.4,4.1,4.3,3.1,2.9,3.2,1.4,0.9,0.9
