,199703월,199704월,199705월,199706월,199707월,199708월,199709월,199710월,199711월,199712월,199801월,199802월,199803월,199804월,199805월,199806월,199807월,199808월,199809월,199810월,199811월,199812월,199901월,199902월,199903월,199904월,199905월,199906월,199907월,199908월,199909월,199910월,199911월,199912월,200001월,200002월,200003월,200004월,200005월,200006월,200007월,200008월,200009월,200010월,200011월,200012월,200101월,200102월,200103월,200104월,200105월,200106월,200107월,200108월,200109월,200110월,200111월,200112월,200201월,200202월,200203월,200204월,200205월,200206월,200207월,200208월,200209월,200210월,200211월,200212월,200301월,200302월,200303월,200304월,200305월,200306월,200307월,200308월,200309월,200310월,200311월,200312월,200401월,200402월,200403월,200404월,200405월,200406월,200407월,200408월,200409월,200410월,200411월,200412월,200501월,200502월,200503월,200504월,200505월,200506월,200507월,200508월,200509월,200510월,200511월,200512월,200601월,200602월,200603월,200604월,200605월,200606월,200607월,200608월,200609월,200610월,200611월,200612월,200701월,200702월,200703월,200704월,200705월,200706월,200707월,200708월,200709월,200710월,200711월,200712월,200801월,200802월,200803월,200804월,200805월,200806월,200807월,200808월,200809월,200810월,200811월,200812월,200901월,200902월,200903월,200904월,200905월,200906월,200907월,200908월,200909월,200910월,200911월,200912월,201001월,201002월,201003월,201004월,201005월,201006월,201007월,201008월,201009월,201010월,201011월,201012월,201101월,201102월,201103월,201104월,201105월,201106월,201107월,201108월,201109월,201110월,201111월,201112월,201201월,201202월,201203월,201204월,201205월,201206월,201207월,201208월,201209월,201210월,201211월,201212월,201301월,201302월,201303월,201304월,201305월,201306월,201307월,201308월,201309월,201310월,201311월,201312월,201401월,201402월,201403월,201404월,201405월,201406월,201407월,201408월,201409월,201410월,201411월,201412월,201501월,201502월,201503월,201504월,201505월,201506월,201507월,201508월,201509월,201510월,201511월,201512월,201601월,201602월,201603월,201604월,201605월,201606월,201607월,201608월,201609월,201610월,201611월,201612월,201701월,201702월,201703월,201704월,201705월,201706월,201707월,201708월,201709월,201710월,201711월,201712월,201801월,201802월,201803월,201804월,201805월,201806월,201807월,201808월,201809월,201810월,201811월,201812월,201901월,201902월,201903월,201904월,201905월,201906월,201907월,201908월,201909월,201910월,201911월,201912월,202001월,202002월,202003월,202004월,202005월,202006월,202007월,202008월,202009월,202010월,202011월,202012월,202101월,202102월,202103월,202104월,202105월,202106월,202107월,202108월,202109월,202110월,202111월,202112월,202201월,202202월,202203월,202204월,202205월,202206월,202207월,202208월,202209월,202210월,202211월,202212월,202301월,202302월,202303월,202304월,202305월,202306월,202307월,202308월
소비자물가,4.5,4.3,3.8,4.0,3.7,4.0,4.2,4.2,4.3,6.6,8.3,9.5,9.0,8.8,8.2,7.5,7.3,6.9,6.9,7.2,6.8,4.0,1.5,0.2,0.5,0.4,0.8,0.6,0.3,0.9,0.8,1.2,1.4,1.4,1.9,1.8,2.1,1.4,1.1,2.2,3.0,2.4,3.5,2.6,2.2,2.8,3.4,3.6,4.0,4.8,5.3,5.0,4.8,4.7,3.3,3.4,3.4,3.2,2.6,2.6,2.3,2.5,3.0,2.6,2.1,2.4,3.1,2.8,3.5,3.7,3.8,3.9,4.5,3.7,3.2,3.0,3.2,3.0,3.3,3.7,3.4,3.4,3.4,3.3,3.1,3.3,3.3,3.6,4.4,4.8,3.9,3.8,3.3,3.0,3.4,3.4,3.0,3.1,3.1,2.8,2.6,2.0,2.5,2.3,2.5,2.6,2.2,2.0,2.0,2.0,2.3,2.4,2.4,2.7,2.5,2.2,2.1,2.1,1.7,2.2,2.2,2.5,2.3,2.5,2.5,2.0,2.3,3.0,3.5,3.6,3.9,3.6,3.9,4.1,4.9,5.5,5.9,5.6,5.1,4.8,4.5,4.1,3.7,4.1,3.9,3.6,2.7,2.0,1.6,2.2,2.2,2.0,2.4,2.8,3.5,3.0,2.5,2.6,2.7,2.7,2.5,2.7,3.4,3.7,3.0,3.0,3.4,3.9,4.1,3.8,3.9,4.2,4.5,4.7,3.8,3.6,4.2,4.2,3.4,3.0,2.7,2.6,2.5,2.2,1.5,1.3,2.1,2.1,1.6,1.4,1.6,1.6,1.5,1.3,1.2,1.2,1.6,1.5,1.0,0.9,1.2,1.1,1.1,1.0,1.3,1.5,1.7,1.7,1.6,1.4,1.1,1.1,1.0,0.8,1.0,0.6,0.5,0.4,0.6,0.7,0.7,0.7,0.5,0.8,0.8,1.1,0.6,1.1,0.8,1.0,0.8,0.7,0.4,0.5,1.3,1.5,1.5,1.3,2.2,2.1,2.3,2.0,2.0,1.8,2.2,2.5,2.0,1.8,1.2,1.4,0.8,1.3,1.2,1.5,1.5,1.5,1.1,1.4,2.1,2.0,2.0,1.3,0.8,0.5,0.4,0.6,0.7,0.7,0.6,0.0,-0.4,0.0,0.2,0.7,1.2,0.9,0.8,0.0,-0.2,0.2,0.4,0.8,0.9,0.1,0.6,0.6,0.9,1.4,1.9,2.5,2.6,2.3,2.6,2.6,2.4,3.2,3.8,3.7,3.6,3.7,4.1,4.8,5.4,6.0,6.3,5.7,5.6,5.7,5.0,5.0,5.2,4.8,4.2,3.7,3.3,2.7,2.3,3.4
근원물가,3.2,3.0,3.0,3.0,3.1,3.5,3.7,3.7,3.8,4.2,6.1,7.0,7.4,7.3,6.9,6.6,6.1,5.2,4.8,4.7,4.5,4.0,1.8,0.8,0.0,-0.3,-0.4,-0.3,-0.2,0.4,0.4,0.5,0.7,0.5,1.1,1.1,1.5,1.6,1.5,1.6,2.0,2.1,2.5,2.3,2.3,2.9,3.2,3.2,3.3,3.6,4.1,4.1,3.8,3.7,3.5,3.6,3.7,3.6,2.9,3.0,3.0,3.0,3.0,2.9,3.0,2.8,2.9,3.0,3.1,3.1,3.1,3.0,3.4,3.2,3.1,3.3,3.1,3.2,3.1,2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.7,3.1,3.2,3.2,3.4,3.1,2.9,3.3,3.4,2.8,2.7,2.6,2.3,2.1,1.9,1.8,1.7,1.9,1.8,1.3,1.3,1.4,1.5,1.8,1.9,2.1,2.1,2.0,2.0,2.1,2.1,2.1,2.3,2.4,2.6,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.8,2.8,3.3,3.5,3.9,4.3,4.6,4.7,5.1,5.2,5.3,5.6,5.2,5.2,4.5,4.2,3.9,3.5,3.2,3.1,2.7,2.6,2.5,2.2,2.3,2.1,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.7,1.5,1.7,2.1,2.6,3.0,3.0,3.2,3.5,3.6,3.5,3.3,3.2,3.5,3.6,3.1,2.5,1.9,1.7,1.6,1.5,1.2,1.2,1.5,1.6,1.4,1.1,1.3,1.4,1.6,1.6,1.7,1.6,1.7,1.5,1.7,1.8,2.0,1.9,1.7,1.7,2.1,2.3,2.2,2.1,2.2,2.4,1.9,1.8,1.6,1.6,2.6,2.4,2.2,2.1,2.1,2.0,2.1,2.1,2.0,2.2,2.2,2.3,1.6,1.7,1.7,1.9,0.4,1.8,1.3,1.3,1.5,1.8,1.6,1.2,1.6,1.6,1.5,1.4,1.4,1.3,1.8,1.8,1.6,1.3,1.1,1.4,0.9,1.1,1.3,1.4,1.3,1.2,0.8,0.9,1.3,1.2,1.4,1.3,1.2,1.3,0.9,0.9,0.8,0.9,1.0,0.9,0.6,0.8,0.6,0.7,0.7,0.5,0.5,0.3,0.6,0.8,0.7,0.8,0.9,0.2,1.1,1.1,1.2,1.2,1.4,1.6,1.5,1.5,1.8,1.9,2.0,2.8,2.4,2.7,3.0,3.2,3.3,3.6,4.1,4.4,4.5,4.4,4.5,4.8,4.8,4.8,5.0,4.8,4.8,4.6,4.3,4.1,3.9,3.9
